delivery_id,delivery_number,so_id,delivery_date,quantity_delivered,warehouse_id,driver_name,vehicle_number,notes
DO-00000081,DO-00000081,SO-00000069,2024-08-18,20,WH-003,Leah Lee,TRK-8748,
DO-00000082,DO-00000082,SO-00000070,2024-05-04,15,WH-002,Michael White,TRK-4171,
DO-00000083,DO-00000083,SO-00000071,2024-05-02,20,WH-002,Megan Decker,ABC-8652,
DO-00000084,DO-00000084,SO-00000072,2024-12-03,5,WH-001,Brent Garcia,XYZ-6471,
DO-00000085,DO-00000085,SO-00000073,2024-12-11,20,WH-002,Daniel Campbell,TRK-4961,
DO-00000086,DO-00000086,SO-00000074,2023-10-22,10,WH-003,Alexander Davis,XYZ-5245,
DO-00000087,DO-00000087,SO-00000075,2023-10-19,4,WH-003,Mary Houston,TRK-3488,
DO-00000088,DO-00000088,SO-00000075,2023-10-14,11,WH-003,Margaret Erickson,XYZ-2776,
DO-00000089,DO-00000089,SO-00000076,2025-05-08,10,WH-001,Scott Anderson,ABC-5076,
DO-00000090,DO-00000090,SO-00000077,2025-04-24,4,WH-003,Stephanie Knight,TRK-1451,
DO-00000091,DO-00000091,SO-00000077,2025-04-30,16,WH-003,Stephanie Dominguez,ABC-2114,
DO-00000092,DO-00000092,SO-00000078,2024-10-16,5,WH-002,John Mayer,XYZ-5564,
DO-00000093,DO-00000093,SO-00000079,2024-07-31,5,WH-002,Tammy Hill,XYZ-4861,
DO-00000094,DO-00000094,SO-00000080,2025-02-18,5,WH-001,Steven Carrillo,XYZ-1221,
DO-00000095,DO-00000095,SO-00000081,2025-05-21,15,WH-002,Christopher Jones,XYZ-6456,
DO-00000096,DO-00000096,SO-00000082,2023-07-31,50,WH-002,Janet Cook,TRK-4033,
DO-00000097,DO-00000097,SO-00000083,2024-11-09,15,WH-003,Tyler Baker,ABC-6963,
DO-00000098,DO-00000098,SO-00000084,2025-05-09,5,WH-001,John Mcfarland,ABC-6351,
DO-00000099,DO-00000099,SO-00000085,2024-09-08,2,WH-002,Cassandra Vasquez,ABC-6001,
DO-00000100,DO-00000100,SO-00000085,2024-09-10,23,WH-002,Randy Robinson,XYZ-2307,
DO-00000101,DO-00000101,SO-00000086,2023-10-02,20,WH-001,Susan Baldwin,ABC-2856,
DO-00000102,DO-00000102,SO-00000087,2023-08-30,24,WH-001,Benjamin Duncan,ABC-6166,
DO-00000103,DO-00000103,SO-00000087,2023-08-29,26,WH-001,Jeremy Mosley,TRK-5377,
DO-00000104,DO-00000104,SO-00000088,2025-02-13,2,WH-001,Martin Fitzpatrick,ABC-6594,
DO-00000105,DO-00000105,SO-00000089,2023-12-21,10,WH-003,Deborah Graves,ABC-3889,
DO-00000106,DO-00000106,SO-00000089,2023-12-27,40,WH-003,Laura Robertson,TRK-9704,
DO-00000107,DO-00000107,SO-00000090,2024-04-16,1,WH-003,Katherine Graham,ABC-1138,
DO-00000108,DO-00000108,SO-00000090,2024-04-20,1,WH-003,Priscilla Floyd,XYZ-1635,
DO-00000109,DO-00000109,SO-00000091,2024-11-11,15,WH-002,April Finley,TRK-2458,
DO-00000110,DO-00000110,SO-00000092,2024-10-15,15,WH-001,Karen Bradley,ABC-1513,
DO-00000111,DO-00000111,SO-00000093,2024-11-06,1,WH-001,Heather Maldonado,ABC-3206,
DO-00000112,DO-00000112,SO-00000093,2024-11-07,9,WH-001,Mark Benjamin,XYZ-6943,
DO-00000113,DO-00000113,SO-00000094,2024-08-10,25,WH-002,Joseph Woodward,XYZ-1897,
DO-00000114,DO-00000114,SO-00000096,2024-01-07,20,WH-001,Joe Miranda,XYZ-9868,
DO-00000115,DO-00000115,SO-00000097,2023-11-03,10,WH-002,Cassandra Williams,ABC-8962,
DO-00000116,DO-00000116,SO-00000098,2025-04-26,2,WH-002,Connor Dominguez,ABC-9829,
DO-00000117,DO-00000117,SO-00000099,2024-11-17,5,WH-003,Lydia Howard,ABC-8451,
DO-00000118,DO-00000118,SO-00000100,2024-12-24,15,WH-003,Mark Moss,TRK-5290,
DO-00000119,DO-00000119,SO-00000101,2023-08-08,50,WH-002,Corey Cortez,ABC-6046,
DO-00000120,DO-00000120,SO-00000102,2025-01-03,15,WH-002,Katherine Brown,ABC-8619,
DO-00000121,DO-00000121,SO-00000103,2024-12-17,50,WH-001,Elizabeth Ferguson,ABC-7984,
DO-00000122,DO-00000122,SO-00000104,2025-01-24,15,WH-001,Joann Forbes,TRK-6641,
DO-00000123,DO-00000123,SO-00000105,2025-04-17,50,WH-001,Anthony French,ABC-2793,
DO-00000124,DO-00000124,SO-00000106,2025-02-03,2,WH-003,Bruce Roman,TRK-8038,
DO-00000125,DO-00000125,SO-00000107,2025-01-15,15,WH-001,Judy Gregory,XYZ-8572,
DO-00000126,DO-00000126,SO-00000108,2024-06-25,10,WH-001,Brittany Riley,ABC-8375,
DO-00000127,DO-00000127,SO-00000109,2024-04-01,10,WH-002,Amanda Thomas,ABC-7114,
DO-00000128,DO-00000128,SO-00000110,2023-11-15,5,WH-001,Kaitlin Hardin,ABC-1851,
DO-00000129,DO-00000129,SO-00000111,2023-11-02,11,WH-003,Michael Anderson,TRK-2065,
DO-00000130,DO-00000130,SO-00000111,2023-11-03,14,WH-003,Anthony Parker,ABC-9527,
DO-00000131,DO-00000131,SO-00000112,2024-09-04,1,WH-002,Joy Jackson,TRK-8823,
DO-00000132,DO-00000132,SO-00000112,2024-09-02,1,WH-002,Sabrina Rodriguez,TRK-2461,
DO-00000133,DO-00000133,SO-00000113,2025-05-08,5,WH-001,Robert Walker PhD,XYZ-7395,
DO-00000134,DO-00000134,SO-00000114,2025-02-28,1,WH-001,Robert Hendrix,ABC-7561,
DO-00000135,DO-00000135,SO-00000115,2025-04-22,1,WH-003,Erika Daugherty,TRK-6383,
DO-00000136,DO-00000136,SO-00000116,2024-03-13,1,WH-001,Brenda Copeland,XYZ-7685,
DO-00000137,DO-00000137,SO-00000117,2024-10-29,1,WH-002,Pamela Watkins,XYZ-7862,
DO-00000138,DO-00000138,SO-00000118,2024-12-07,2,WH-001,Bryan Thomas,XYZ-4423,
DO-00000139,DO-00000139,SO-00000119,2024-03-29,20,WH-002,Michael Tran,ABC-1471,
DO-00000140,DO-00000140,SO-00000120,2024-03-07,5,WH-002,Timothy Williams,TRK-4786,
DO-00000141,DO-00000141,SO-00000121,2024-03-16,9,WH-001,Ryan Salazar,XYZ-8566,
DO-00000142,DO-00000142,SO-00000121,2024-03-17,41,WH-001,Alexis Tucker,TRK-8055,
DO-00000143,DO-00000143,SO-00000122,2025-07-01,5,WH-002,Christopher Davis,TRK-1885,
DO-00000144,DO-00000144,SO-00000122,2025-07-05,15,WH-002,Stacie Butler,TRK-1753,
DO-00000145,DO-00000145,SO-00000123,2024-08-01,5,WH-001,Patricia Schwartz,ABC-4530,
DO-00000146,DO-00000146,SO-00000123,2024-08-02,5,WH-001,Mark Mills,XYZ-3443,
DO-00000147,DO-00000147,SO-00000124,2025-01-08,15,WH-003,Todd Bishop,ABC-7255,
DO-00000148,DO-00000148,SO-00000125,2024-02-05,1,WH-001,Christopher Porter,XYZ-7463,
DO-00000149,DO-00000149,SO-00000125,2024-02-06,1,WH-001,Lori Patton,TRK-5207,
DO-00000150,DO-00000150,SO-00000126,2023-12-04,2,WH-002,Aaron Young,TRK-4439,
DO-00000151,DO-00000151,SO-00000127,2024-10-15,3,WH-001,Joseph Davis,TRK-6538,
DO-00000152,DO-00000152,SO-00000127,2024-10-16,47,WH-001,Philip Fernandez,TRK-9365,
DO-00000153,DO-00000153,SO-00000128,2025-03-06,1,WH-003,Randy Hopkins,XYZ-6833,
DO-00000154,DO-00000154,SO-00000129,2024-11-15,10,WH-001,Cory Hogan,XYZ-3065,
DO-00000155,DO-00000155,SO-00000130,2025-06-14,5,WH-002,Tracy Wells,XYZ-2675,
DO-00000156,DO-00000156,SO-00000131,2024-11-28,10,WH-003,Michael Williams,TRK-2433,
DO-00000157,DO-00000157,SO-00000132,2023-12-28,1,WH-001,Dominique Hamilton,XYZ-9534,
DO-00000158,DO-00000158,SO-00000132,2023-12-29,1,WH-001,Robert Chang,ABC-3030,
DO-00000159,DO-00000159,SO-00000133,2024-04-16,1,WH-001,Patrick Buckley,ABC-5969,
DO-00000160,DO-00000160,SO-00000133,2024-04-12,4,WH-001,Richard Washington,XYZ-1141,
DO-00000161,DO-00000161,SO-00000134,2023-08-07,10,WH-002,Steven Griffith,XYZ-8335,
DO-00000162,DO-00000162,SO-00000136,2025-04-26,2,WH-003,Erika Gonzalez,XYZ-4290,
DO-00000163,DO-00000163,SO-00000136,2025-04-28,48,WH-003,Erika Maxwell,TRK-6885,
DO-00000164,DO-00000164,SO-00000137,2024-03-26,50,WH-003,Brent Rojas,XYZ-3051,
DO-00000165,DO-00000165,SO-00000138,2024-02-28,25,WH-003,Jaime Walker,TRK-8508,
DO-00000166,DO-00000166,SO-00000139,2024-12-09,20,WH-001,John Zamora,XYZ-8311,
DO-00000167,DO-00000167,SO-00000140,2025-02-19,1,WH-001,Timothy Gibson,TRK-8823,
DO-00000168,DO-00000168,SO-00000141,2024-05-15,50,WH-003,Chad Cortez,ABC-1293,
DO-00000169,DO-00000169,SO-00000142,2024-09-11,50,WH-001,Vanessa Harris,ABC-7697,
DO-00000170,DO-00000170,SO-00000143,2023-11-08,20,WH-001,Michael Brown,ABC-5152,
DO-00000171,DO-00000171,SO-00000144,2024-01-17,5,WH-003,Samuel Ellis,XYZ-9371,
DO-00000172,DO-00000172,SO-00000145,2024-10-16,1,WH-002,Greg Tanner,XYZ-7546,
DO-00000173,DO-00000173,SO-00000146,2023-12-03,25,WH-003,Rachel Little,TRK-9788,
DO-00000174,DO-00000174,SO-00000147,2024-12-02,12,WH-001,Carolyn Cordova,ABC-8612,
DO-00000175,DO-00000175,SO-00000147,2024-11-29,38,WH-001,Angelica Vincent,ABC-7570,
DO-00000176,DO-00000176,SO-00000148,2025-06-14,50,WH-002,Zachary Vargas PhD,ABC-5289,
DO-00000177,DO-00000177,SO-00000149,2024-10-03,25,WH-002,Nicholas Fitzgerald,XYZ-7193,
DO-00000178,DO-00000178,SO-00000151,2023-10-15,1,WH-003,Garrett Riley,ABC-9858,
DO-00000179,DO-00000179,SO-00000152,2025-01-22,5,WH-003,Leslie Hernandez,XYZ-5507,
DO-00000180,DO-00000180,SO-00000153,2025-03-05,50,WH-002,Abigail Baird,XYZ-4144,
DO-00000181,DO-00000181,SO-00000154,2025-05-31,5,WH-001,John Mack,XYZ-2864,
DO-00000182,DO-00000182,SO-00000156,2023-09-27,5,WH-003,Joseph Mendoza,XYZ-5331,
DO-00000183,DO-00000183,SO-00000157,2025-03-11,1,WH-003,Samantha Chavez,TRK-9648,
DO-00000184,DO-00000184,SO-00000158,2024-05-07,1,WH-003,Justin Smith,XYZ-2155,
DO-00000185,DO-00000185,SO-00000159,2024-09-26,11,WH-002,Tiffany Anderson,XYZ-9706,
DO-00000186,DO-00000186,SO-00000159,2024-09-27,39,WH-002,Matthew Davis,TRK-9825,
DO-00000187,DO-00000187,SO-00000160,2023-08-20,1,WH-003,Eric Warner,XYZ-8718,
DO-00000188,DO-00000188,SO-00000162,2023-09-11,15,WH-003,Nicole Johnson,TRK-5431,
DO-00000189,DO-00000189,SO-00000163,2024-11-10,50,WH-002,Raymond Sawyer,XYZ-5555,
DO-00000190,DO-00000190,SO-00000164,2024-11-05,2,WH-003,Richard Wood,ABC-5659,
DO-00000191,DO-00000191,SO-00000165,2023-11-14,1,WH-003,Mark Dalton,XYZ-1142,
DO-00000192,DO-00000192,SO-00000165,2023-11-15,1,WH-003,Steven Cook,XYZ-2740,
DO-00000193,DO-00000193,SO-00000166,2024-07-15,2,WH-001,Jeffery Nelson,XYZ-2655,
DO-00000194,DO-00000194,SO-00000167,2023-10-31,5,WH-002,Kimberly Norton,TRK-9887,
DO-00000195,DO-00000195,SO-00000168,2024-10-31,20,WH-001,Angela Gilmore,XYZ-9884,
DO-00000196,DO-00000196,SO-00000169,2024-12-13,5,WH-001,Amy Dougherty,ABC-2925,
DO-00000197,DO-00000197,SO-00000169,2024-12-10,5,WH-001,Stacy Rodriguez,ABC-8937,
DO-00000198,DO-00000198,SO-00000170,2025-03-10,25,WH-003,Manuel Diaz,ABC-2382,
DO-00000199,DO-00000199,SO-00000171,2024-10-01,20,WH-001,Justin Jones,TRK-5504,
DO-00000200,DO-00000200,SO-00000172,2024-01-08,10,WH-001,Christine Zavala,XYZ-4499,
DO-00000201,DO-00000201,SO-00000172,2024-01-01,15,WH-001,Brian Mendoza,TRK-4978,
DO-00000202,DO-00000202,SO-00000173,2023-11-06,4,WH-002,Lauren Haley,XYZ-5377,
DO-00000203,DO-00000203,SO-00000173,2023-11-09,6,WH-002,Patrick Perez,ABC-9028,
DO-00000204,DO-00000204,SO-00000174,2025-04-13,10,WH-001,Derek Frazier,TRK-7567,
DO-00000205,DO-00000205,SO-00000175,2023-10-10,2,WH-002,Arthur Reed,ABC-2715,
DO-00000206,DO-00000206,SO-00000176,2024-08-28,20,WH-001,Mr. Bryan Mckinney,XYZ-1709,
DO-00000207,DO-00000207,SO-00000177,2023-07-16,10,WH-002,Kim Carter,TRK-5223,
DO-00000208,DO-00000208,SO-00000178,2024-02-08,20,WH-002,Rebecca Dougherty,XYZ-8146,
DO-00000209,DO-00000209,SO-00000180,2025-04-17,50,WH-001,Teresa Jones,XYZ-9556,
DO-00000210,DO-00000210,SO-00000181,2023-07-20,20,WH-001,Judith Miller,ABC-4270,
DO-00000211,DO-00000211,SO-00000182,2023-08-29,1,WH-003,Donna Frye,XYZ-6483,
DO-00000212,DO-00000212,SO-00000182,2023-08-21,9,WH-003,Donald Terry,XYZ-4035,
DO-00000213,DO-00000213,SO-00000183,2023-12-04,1,WH-001,Shaun Meyer DDS,TRK-1636,
DO-00000214,DO-00000214,SO-00000184,2024-08-21,1,WH-002,Wayne Weaver,TRK-3768,
DO-00000215,DO-00000215,SO-00000185,2024-09-02,15,WH-001,Gregory Wallace,TRK-7335,
DO-00000216,DO-00000216,SO-00000186,2025-06-03,5,WH-001,Dorothy Brown,ABC-1160,
DO-00000217,DO-00000217,SO-00000188,2024-06-08,5,WH-002,Crystal Meza,TRK-9584,
DO-00000218,DO-00000218,SO-00000188,2024-06-08,10,WH-002,Jennifer Cooper,XYZ-2063,
DO-00000219,DO-00000219,SO-00000189,2023-07-23,25,WH-001,Erin Watkins,TRK-3933,
DO-00000220,DO-00000220,SO-00000190,2024-06-29,25,WH-003,Sarah Wallace,ABC-4574,
DO-00000221,DO-00000221,SO-00000191,2025-05-05,20,WH-001,Carlos Clarke,TRK-4784,
DO-00000222,DO-00000222,SO-00000192,2023-12-08,5,WH-003,David Washington,ABC-9870,
DO-00000223,DO-00000223,SO-00000193,2024-05-02,5,WH-003,Patricia Williams,XYZ-2887,
DO-00000224,DO-00000224,SO-00000194,2024-12-31,15,WH-003,Jesus Jackson,XYZ-9574,
DO-00000225,DO-00000225,SO-00000195,2024-06-04,2,WH-001,Michelle Mitchell,XYZ-8994,
DO-00000226,DO-00000226,SO-00000196,2024-11-05,3,WH-001,Sara Schwartz,XYZ-1390,
DO-00000227,DO-00000227,SO-00000196,2024-11-13,7,WH-001,Brittany Young,TRK-5579,
DO-00000228,DO-00000228,SO-00000197,2024-03-09,1,WH-002,Eugene Martinez,TRK-8237,
DO-00000229,DO-00000229,SO-00000198,2025-05-11,2,WH-002,Cody Hart,TRK-7169,
DO-00000230,DO-00000230,SO-00000199,2024-10-29,25,WH-002,Evan Cooper,ABC-8928,
DO-00000231,DO-00000231,SO-00000200,2023-12-14,20,WH-003,Joshua Martin,ABC-6493,
DO-00000232,DO-00000232,SO-00000201,2024-11-04,10,WH-002,Thomas Sullivan,TRK-4613,
DO-00000233,DO-00000233,SO-00000202,2023-12-15,5,WH-001,Mr. Jimmy Flores Jr.,TRK-4661,
DO-00000234,DO-00000234,SO-00000203,2025-05-06,25,WH-003,Vanessa Rivera,TRK-4769,
DO-00000235,DO-00000235,SO-00000204,2024-10-06,15,WH-002,Kara Roberts,ABC-8567,
DO-00000236,DO-00000236,SO-00000205,2025-05-06,5,WH-002,Veronica Berry,TRK-4531,
DO-00000237,DO-00000237,SO-00000206,2024-02-13,25,WH-002,Keith Meadows,ABC-2607,
DO-00000238,DO-00000238,SO-00000206,2024-02-15,25,WH-002,Michael Dennis,TRK-9394,
DO-00000239,DO-00000239,SO-00000207,2025-03-12,5,WH-002,Brenda Pierce,TRK-7498,
DO-00000240,DO-00000240,SO-00000208,2025-04-25,7,WH-002,James Randall,TRK-4881,
DO-00000241,DO-00000241,SO-00000208,2025-04-25,13,WH-002,Brandon Brown,ABC-4423,
DO-00000242,DO-00000242,SO-00000209,2025-05-02,10,WH-001,Lauren Walker,ABC-2764,
DO-00000243,DO-00000243,SO-00000211,2024-08-20,2,WH-001,Diana Johnson,XYZ-2859,
DO-00000244,DO-00000244,SO-00000212,2024-03-03,1,WH-003,Jill Powers,XYZ-6613,
DO-00000245,DO-00000245,SO-00000213,2024-09-23,5,WH-002,Jorge Lee,TRK-6104,
DO-00000246,DO-00000246,SO-00000214,2023-12-12,15,WH-003,Larry Harding,ABC-2299,
DO-00000247,DO-00000247,SO-00000215,2023-11-01,15,WH-002,Heather Hernandez,TRK-3580,
DO-00000248,DO-00000248,SO-00000216,2024-03-22,1,WH-002,Jaclyn Watson,XYZ-5416,
DO-00000249,DO-00000249,SO-00000218,2023-12-05,20,WH-001,Gregory Madden,ABC-3440,
DO-00000250,DO-00000250,SO-00000219,2025-01-08,25,WH-002,Anita Luna,TRK-6040,
DO-00000251,DO-00000251,SO-00000220,2023-07-22,1,WH-003,Willie Lara,XYZ-8782,
DO-00000252,DO-00000252,SO-00000221,2024-12-09,20,WH-001,Robert Waller,ABC-3986,
DO-00000253,DO-00000253,SO-00000222,2024-10-15,25,WH-002,Steven Taylor,XYZ-4527,
DO-00000254,DO-00000254,SO-00000223,2025-01-31,50,WH-003,Angelica Clark,TRK-4576,
DO-00000255,DO-00000255,SO-00000224,2024-04-15,50,WH-002,Sean Hatfield,XYZ-1803,
DO-00000256,DO-00000256,SO-00000225,2024-10-30,1,WH-001,Tyler Avila,ABC-3098,
DO-00000257,DO-00000257,SO-00000226,2025-02-26,15,WH-003,Jason Rocha,ABC-3391,
DO-00000258,DO-00000258,SO-00000227,2025-07-15,6,WH-001,Justin Page,XYZ-9647,
DO-00000259,DO-00000259,SO-00000227,2025-07-11,14,WH-001,Breanna Lopez,XYZ-8560,
DO-00000260,DO-00000260,SO-00000228,2024-04-21,20,WH-002,Julian Williams,ABC-9043,
DO-00000261,DO-00000261,SO-00000230,2024-12-21,1,WH-003,Sandra Torres,XYZ-5763,
DO-00000262,DO-00000262,SO-00000231,2024-07-24,15,WH-001,Julie Johnson,TRK-7037,
DO-00000263,DO-00000263,SO-00000232,2023-07-20,1,WH-001,Dennis Blanchard,TRK-9747,
DO-00000264,DO-00000264,SO-00000232,2023-07-18,19,WH-001,Kaitlyn Valdez,TRK-1485,
DO-00000265,DO-00000265,SO-00000233,2024-11-20,10,WH-003,Jennifer Vasquez,XYZ-7051,
DO-00000266,DO-00000266,SO-00000234,2024-12-22,5,WH-002,Danielle Wilson,XYZ-4874,
DO-00000267,DO-00000267,SO-00000235,2024-01-14,20,WH-002,Zachary Jones,ABC-1941,
DO-00000268,DO-00000268,SO-00000236,2024-07-15,10,WH-002,Lauren Cunningham,TRK-3793,
