id,po_id,po_number,order_date,year,month,quarter,supplier_id,supplier_name,country,supplier_type,product_id,product_name,category,quantity,unit_cost,total_cost,receipt_date,days_to_deliver,on_time_delivery,status
5511,PO-00000011,PO-00000011,2023-09-28,2023,9,4,SUP-00000069,Summit Distribution #69,Canada,Distributor,PRD-00000354,Level 24 inch HD,Tools,150,25.04,3756.0,2023-10-10,12.0,0.0,COMPLETED
5512,PO-00000012,PO-00000012,2024-01-31,2024,1,1,SUP-00000083,FastParts Direct #83,France,Distributor,PRD-00000058,Desk Organizer Lite,Office Supplies,50,12.27,613.5,2024-02-24,24.0,0.0,COMPLETED
5513,PO-00000013,PO-00000013,2024-10-17,2024,10,4,SUP-00000014,United Parts,United Kingdom,Wholesaler,PRD-00000224,Monitor 27 inch Lite,Computer Hardware,50,158.94,7947.0,2024-10-23,6.0,1.0,COMPLETED
5514,PO-00000014,PO-00000014,2024-09-28,2024,9,4,SUP-00000063,FastParts Direct #63,United States,Wholesaler,PRD-00000060,Dry Erase Markers Premium,Office Supplies,25,5.2,130.0,2024-10-29,31.0,0.0,COMPLETED
5515,PO-00000015,PO-00000015,2024-08-05,2024,8,3,SUP-00000080,Coastal Distributors #80,India,Manufacturer,PRD-00000300,Dry Erase Markers Plus,Office Supplies,50,5.04,252.0,2024-08-11,6.0,1.0,COMPLETED
5516,PO-00000016,PO-00000016,2024-11-19,2024,11,4,SUP-00000035,National Distribution #35,South Korea,Manufacturer,PRD-00000323,Wireless Mouse Premium,Electronics,150,17.12,2568.0,2024-12-23,34.0,0.0,COMPLETED
5517,PO-00000017,PO-00000017,2025-02-25,2025,2,1,SUP-00000097,Atlantic Supply #97,France,Manufacturer,PRD-00000019,Whiteboard 24x36,Office Supplies,150,32.63,4894.5,2025-04-06,40.0,0.0,COMPLETED
5518,PO-00000018,PO-00000018,2024-05-19,2024,5,2,SUP-00000012,Advanced Logistics,Canada,Distributor,PRD-00000119,Tape Measure Digital Max,Tools,10,14.44,144.4,2024-06-20,32.0,0.0,COMPLETED
5519,PO-00000019,PO-00000019,2025-04-22,2025,4,2,SUP-00000057,Atlantic Supply #57,Brazil,Importer,PRD-00000456,Paper Clips Box XL,Office Supplies,20,1.61,32.2,2025-05-18,26.0,0.0,COMPLETED
5520,PO-00000020,PO-00000020,2024-10-23,2024,10,4,SUP-00000074,United Parts #74,Australia,Distributor,PRD-00000011,A4 Paper Ream,Office Supplies,75,4.72,354.0,2024-11-12,20.0,0.0,COMPLETED
5521,PO-00000021,PO-00000021,2025-05-03,2025,5,2,SUP-00000075,National Distribution #75,Italy,Wholesaler,PRD-00000301,SSD 500GB Lite,Computer Hardware,100,52.58,5258.0,2025-05-28,25.0,0.0,COMPLETED
5522,PO-00000022,PO-00000022,2025-05-20,2025,5,2,SUP-00000041,Global Tech Supply #41,Australia,Distributor,PRD-00000371,A4 Paper Ream HD,Office Supplies,150,5.56,833.9999999999999,2025-06-26,37.0,0.0,COMPLETED
5523,PO-00000023,PO-00000023,2023-09-27,2023,9,4,SUP-00000096,Pacific Trading Co #96,United Kingdom,Importer,PRD-00000410,Laptop Stand Plus,Electronics,50,25.3,1265.0,2023-10-25,28.0,1.0,COMPLETED
5524,PO-00000024,PO-00000024,2024-08-29,2024,8,3,SUP-00000025,Reliable Components #25,India,Importer,PRD-00000103,Mechanical Keyboard Pro,Computer Hardware,200,62.12,12424.0,2024-09-21,23.0,0.0,COMPLETED
5525,PO-00000025,PO-00000025,2024-03-24,2024,3,2,SUP-00000035,National Distribution #35,South Korea,Manufacturer,PRD-00000286,USB Hub 7-Port HD,Electronics,10,19.79,197.89999999999998,2024-04-11,18.0,1.0,COMPLETED
5526,PO-00000026,PO-00000026,2024-06-10,2024,6,3,SUP-00000010,Peak Performance,Netherlands,Importer,PRD-00000424,Monitor 27 inch Premium,Computer Hardware,10,234.15,2341.5,2024-07-02,22.0,0.0,COMPLETED
5527,PO-00000027,PO-00000027,2024-06-13,2024,6,3,SUP-00000059,Valley Industrial #59,Spain,Distributor,PRD-00000062,RAM 16GB DDR4 Max,Computer Hardware,200,41.47,8294.0,2024-07-04,21.0,0.0,COMPLETED
5528,PO-00000028,PO-00000028,2024-09-21,2024,9,4,SUP-00000093,Central Supplies #93,Italy,Importer,PRD-00000459,Whiteboard 24x36 HD,Office Supplies,20,32.04,640.8,,,,PENDING
5529,PO-00000029,PO-00000029,2025-03-16,2025,3,2,SUP-00000032,Advanced Logistics #32,United Kingdom,Distributor,PRD-00000387,PC Case Mid Tower Basic,Computer Hardware,20,54.62,1092.3999999999999,2025-03-22,6.0,1.0,COMPLETED
5530,PO-00000030,PO-00000030,2024-01-27,2024,1,1,SUP-00000023,FastParts Direct #23,Japan,Wholesaler,PRD-00000260,Dry Erase Markers Lite,Office Supplies,25,5.29,132.25,2024-02-18,22.0,0.0,COMPLETED
5531,PO-00000031,PO-00000031,2023-10-10,2023,10,4,SUP-00000033,Central Supplies #33,Canada,Wholesaler,PRD-00000363,Wireless Mouse Plus,Electronics,200,14.49,2898.0,2023-10-26,16.0,0.0,COMPLETED
5532,PO-00000032,PO-00000032,2024-09-22,2024,9,4,SUP-00000002,Prime Industrial,Japan,Wholesaler,PRD-00000420,Dry Erase Markers Basic,Office Supplies,20,5.73,114.60000000000001,2024-10-07,15.0,1.0,COMPLETED
5533,PO-00000033,PO-00000033,2023-12-23,2023,12,5,SUP-00000039,Valley Industrial #39,Canada,Distributor,PRD-00000126,USB Hub 7-Port XL,Electronics,100,18.79,1879.0,2024-01-09,17.0,0.0,COMPLETED
5534,PO-00000034,PO-00000034,2024-12-24,2024,12,5,SUP-00000008,Alliance Trading,South Korea,Manufacturer,PRD-00000185,Graphics Card Entry Lite,Computer Hardware,50,115.04,5752.0,2025-01-12,19.0,1.0,COMPLETED
5535,PO-00000035,PO-00000035,2024-10-12,2024,10,4,SUP-00000056,Pacific Trading Co #56,Spain,Wholesaler,PRD-00000411,A4 Paper Ream Plus,Office Supplies,150,5.7,855.0,2024-11-10,29.0,0.0,COMPLETED
5536,PO-00000036,PO-00000036,2023-07-11,2023,7,3,SUP-00000012,Advanced Logistics,Canada,Distributor,PRD-00000484,Bluetooth Keyboard Lite,Electronics,200,28.29,5658.0,2023-08-06,26.0,1.0,COMPLETED
5537,PO-00000037,PO-00000037,2023-12-16,2023,12,5,SUP-00000011,Elite Imports,South Korea,Wholesaler,PRD-00000044,Bluetooth Keyboard Plus,Electronics,100,27.97,2797.0,2024-01-01,16.0,1.0,COMPLETED
5538,PO-00000038,PO-00000038,2023-08-29,2023,8,3,SUP-00000053,Central Supplies #53,Mexico,Wholesaler,PRD-00000339,Whiteboard 24x36 XL,Office Supplies,25,31.72,793.0,,,,CANCELLED
5539,PO-00000039,PO-00000039,2025-05-28,2025,5,2,SUP-00000064,QualitySource Inc #64,Australia,Wholesaler,PRD-00000410,Laptop Stand Plus,Electronics,150,26.39,3958.5,2025-06-30,33.0,0.0,COMPLETED
5540,PO-00000040,PO-00000040,2024-04-12,2024,4,2,SUP-00000021,Global Tech Supply #21,South Korea,Manufacturer,PRD-00000370,Laptop Stand HD,Electronics,100,22.55,2255.0,2024-05-04,22.0,1.0,COMPLETED
5541,PO-00000041,PO-00000041,2025-01-08,2025,1,1,SUP-00000048,Alliance Trading #48,Mexico,Manufacturer,PRD-00000359,Tape Measure Digital Plus,Tools,200,17.83,3565.9999999999995,2025-02-12,35.0,0.0,COMPLETED
5542,PO-00000042,PO-00000042,2024-05-04,2024,5,2,SUP-00000047,ValueFirst Supply #47,Canada,Manufacturer,PRD-00000358,Hammer 16oz Pro,Tools,150,13.53,2029.5,2024-05-18,14.0,0.0,COMPLETED
5543,PO-00000043,PO-00000043,2024-12-05,2024,12,5,SUP-00000037,Atlantic Supply #37,Germany,Distributor,PRD-00000200,Utility Knife Max,Tools,75,4.2,315.0,2025-01-03,29.0,0.0,COMPLETED
5544,PO-00000044,PO-00000044,2025-01-03,2025,1,1,SUP-00000084,QualitySource Inc #84,South Korea,Wholesaler,PRD-00000388,Power Supply 650W Premium,Computer Hardware,25,51.81,1295.25,2025-02-01,29.0,0.0,COMPLETED
5545,PO-00000045,PO-00000045,2024-07-16,2024,7,3,SUP-00000005,Reliable Components,Spain,Manufacturer,PRD-00000372,Ballpoint Pens 12-Pack Max,Office Supplies,20,4.25,85.0,2024-08-06,21.0,0.0,COMPLETED
5546,PO-00000046,PO-00000046,2025-02-06,2025,2,1,SUP-00000030,Peak Performance #30,China,Importer,PRD-00000064,Monitor 27 inch Basic,Computer Hardware,20,197.86,3957.2000000000003,2025-03-13,35.0,0.0,COMPLETED
5547,PO-00000047,PO-00000047,2025-05-13,2025,5,2,SUP-00000023,FastParts Direct #23,Japan,Wholesaler,PRD-00000121,USB-C Cable Plus,Electronics,100,6.29,629.0,2025-06-10,28.0,1.0,COMPLETED
5548,PO-00000048,PO-00000048,2024-12-10,2024,12,5,SUP-00000057,Atlantic Supply #57,Brazil,Importer,PRD-00000366,USB Hub 7-Port HD,Electronics,50,17.07,853.5,2025-01-10,31.0,0.0,COMPLETED
5549,PO-00000049,PO-00000049,2024-08-25,2024,8,3,SUP-00000016,Pacific Trading Co,Germany,Distributor,PRD-00000233,Measuring Tape 25ft Pro,Tools,25,10.77,269.25,2024-09-11,17.0,0.0,COMPLETED
5550,PO-00000050,PO-00000050,2023-09-18,2023,9,4,SUP-00000056,Pacific Trading Co #56,Spain,Wholesaler,PRD-00000455,Stapler Heavy Duty HD,Office Supplies,200,13.69,2738.0,2023-10-13,25.0,0.0,COMPLETED
5551,PO-00000051,PO-00000051,2025-04-12,2025,4,2,SUP-00000076,Pacific Trading Co #76,Netherlands,Distributor,PRD-00000302,RAM 16GB DDR4 Basic,Computer Hardware,75,47.35,3551.25,,,,CANCELLED
5552,PO-00000052,PO-00000052,2023-11-25,2023,11,4,SUP-00000033,Central Supplies #33,Canada,Wholesaler,PRD-00000353,Measuring Tape 25ft Basic,Tools,150,10.28,1542.0,2023-12-27,32.0,0.0,COMPLETED
5553,PO-00000053,PO-00000053,2023-08-03,2023,8,3,SUP-00000037,Atlantic Supply #37,Germany,Distributor,PRD-00000067,PC Case Mid Tower Plus,Computer Hardware,50,42.36,2118.0,2023-09-08,36.0,0.0,COMPLETED
5554,PO-00000054,PO-00000054,2024-07-13,2024,7,3,SUP-00000059,Valley Industrial #59,Spain,Distributor,PRD-00000472,Socket Set 40-Piece Max,Tools,150,47.93,7189.5,2024-08-06,24.0,1.0,COMPLETED
5555,PO-00000055,PO-00000055,2024-05-06,2024,5,2,SUP-00000068,Alliance Trading #68,France,Distributor,PRD-00000061,SSD 500GB XL,Computer Hardware,75,58.06,4354.5,2024-05-21,15.0,1.0,COMPLETED
5556,PO-00000056,PO-00000056,2024-05-08,2024,5,2,SUP-00000006,Premier Materials,Japan,Importer,PRD-00000073,Measuring Tape 25ft Plus,Tools,10,10.87,108.69999999999999,2024-06-03,26.0,0.0,COMPLETED
5557,PO-00000057,PO-00000057,2023-08-15,2023,8,3,SUP-00000068,Alliance Trading #68,France,Distributor,PRD-00000002,HDMI Cable 6ft,Electronics,100,3.96,396.0,2023-09-08,24.0,0.0,COMPLETED
5558,PO-00000058,PO-00000058,2024-10-29,2024,10,4,SUP-00000063,FastParts Direct #63,United States,Wholesaler,PRD-00000290,Laptop Stand XL,Electronics,100,34.39,3439.0,2024-11-27,29.0,1.0,COMPLETED
5559,PO-00000059,PO-00000059,2025-05-14,2025,5,2,SUP-00000095,National Distribution #95,Australia,Manufacturer,PRD-00000391,Drill Driver Cordless Plus,Tools,200,108.35,21670.0,2025-06-09,26.0,0.0,COMPLETED
5560,PO-00000060,PO-00000060,2024-08-08,2024,8,3,SUP-00000014,United Parts,United Kingdom,Wholesaler,PRD-00000046,USB Hub 7-Port Lite,Electronics,150,17.19,2578.5,2024-09-03,26.0,0.0,COMPLETED
5561,PO-00000061,PO-00000061,2023-07-26,2023,7,3,SUP-00000065,Reliable Components #65,Italy,Manufacturer,PRD-00000377,Binder Clips Assorted Basic,Office Supplies,20,3.04,60.8,2023-08-24,29.0,0.0,COMPLETED
5562,PO-00000062,PO-00000062,2025-03-25,2025,3,2,SUP-00000049,Summit Distribution #49,France,Distributor,PRD-00000288,Power Strip 6-Outlet XL,Electronics,20,11.11,222.2,2025-04-14,20.0,1.0,COMPLETED
5563,PO-00000063,PO-00000063,2023-07-20,2023,7,3,SUP-00000046,Premier Materials #46,Brazil,Distributor,PRD-00000491,A4 Paper Ream Premium,Office Supplies,200,5.47,1094.0,2023-07-30,10.0,1.0,COMPLETED
5564,PO-00000064,PO-00000064,2024-03-08,2024,3,2,SUP-00000063,FastParts Direct #63,United States,Wholesaler,PRD-00000493,Sticky Notes 3x3 Lite,Office Supplies,75,3.58,268.5,2024-04-15,38.0,0.0,COMPLETED
5565,PO-00000065,PO-00000065,2024-11-15,2024,11,4,SUP-00000011,Elite Imports,South Korea,Wholesaler,PRD-00000044,Bluetooth Keyboard Plus,Electronics,150,29.77,4465.5,2024-11-22,7.0,1.0,COMPLETED
5566,PO-00000066,PO-00000066,2023-10-02,2023,10,4,SUP-00000064,QualitySource Inc #64,Australia,Wholesaler,PRD-00000213,Sticky Notes 3x3 HD,Office Supplies,100,2.81,281.0,,,,CANCELLED
5567,PO-00000067,PO-00000067,2024-03-18,2024,3,2,SUP-00000045,Reliable Components #45,Mexico,Importer,PRD-00000278,Hammer 16oz Pro,Tools,75,12.16,912.0,2024-04-04,17.0,0.0,COMPLETED
5568,PO-00000068,PO-00000068,2024-05-29,2024,5,2,SUP-00000043,FastParts Direct #43,Brazil,Manufacturer,PRD-00000348,Power Supply 650W Plus,Computer Hardware,10,54.38,543.8000000000001,2024-06-06,8.0,1.0,COMPLETED
5569,PO-00000069,PO-00000069,2024-08-26,2024,8,3,SUP-00000088,Alliance Trading #88,Canada,Importer,PRD-00000153,Measuring Tape 25ft Premium,Tools,20,9.3,186.0,2024-09-10,15.0,1.0,COMPLETED
5570,PO-00000070,PO-00000070,2025-02-20,2025,2,1,SUP-00000047,ValueFirst Supply #47,Canada,Manufacturer,PRD-00000027,PC Case Mid Tower,Computer Hardware,50,45.67,2283.5,2025-03-13,21.0,0.0,COMPLETED
5571,PO-00000071,PO-00000071,2024-10-18,2024,10,4,SUP-00000083,FastParts Direct #83,France,Distributor,PRD-00000487,Ethernet Switch 8-Port XL,Electronics,75,41.95,3146.25,2024-11-21,34.0,0.0,COMPLETED
5572,PO-00000072,PO-00000072,2023-07-20,2023,7,3,SUP-00000091,Elite Imports #91,Japan,Importer,PRD-00000015,Stapler Heavy Duty,Office Supplies,50,17.83,891.4999999999999,2023-08-02,13.0,1.0,COMPLETED
5573,PO-00000073,PO-00000073,2024-08-20,2024,8,3,SUP-00000072,Advanced Logistics #72,Spain,Wholesaler,PRD-00000127,Ethernet Switch 8-Port Basic,Electronics,25,46.92,1173.0,2024-09-11,22.0,0.0,COMPLETED
5574,PO-00000074,PO-00000074,2023-12-20,2023,12,5,SUP-00000022,Prime Industrial #22,Australia,Wholesaler,PRD-00000401,USB-C Cable HD,Electronics,100,7.94,794.0,2024-01-11,22.0,0.0,COMPLETED
5575,PO-00000075,PO-00000075,2024-10-18,2024,10,4,SUP-00000063,FastParts Direct #63,United States,Wholesaler,PRD-00000493,Sticky Notes 3x3 Lite,Office Supplies,10,2.73,27.3,2024-11-13,26.0,1.0,COMPLETED
5576,PO-00000076,PO-00000076,2024-03-13,2024,3,2,SUP-00000099,Valley Industrial #99,Mexico,Wholesaler,PRD-00000001,USB-C Cable,Electronics,200,7.5,1500.0,2024-04-16,34.0,0.0,COMPLETED
5577,PO-00000077,PO-00000077,2024-12-28,2024,12,5,SUP-00000086,Premier Materials #86,Australia,Manufacturer,PRD-00000432,Socket Set 40-Piece Basic,Tools,75,39.33,2949.75,2025-01-19,22.0,1.0,COMPLETED
5578,PO-00000078,PO-00000078,2024-04-12,2024,4,2,SUP-00000065,Reliable Components #65,Italy,Manufacturer,PRD-00000203,Wireless Mouse Plus,Electronics,25,15.56,389.0,2024-05-07,25.0,0.0,COMPLETED
5579,PO-00000079,PO-00000079,2024-10-06,2024,10,4,SUP-00000061,Global Tech Supply #61,India,Importer,PRD-00000453,Sticky Notes 3x3 Pro,Office Supplies,75,3.26,244.49999999999997,2024-10-26,20.0,0.0,COMPLETED
5580,PO-00000080,PO-00000080,2024-06-01,2024,6,3,SUP-00000089,Summit Distribution #89,Brazil,Distributor,PRD-00000175,Stapler Heavy Duty XL,Office Supplies,200,16.92,3384.0000000000005,,,,PENDING
5581,PO-00000081,PO-00000081,2023-07-10,2023,7,3,SUP-00000092,Advanced Logistics #92,South Korea,Manufacturer,PRD-00000069,Motherboard B550 Basic,Computer Hardware,200,92.76,18552.0,2023-08-17,38.0,0.0,COMPLETED
5582,PO-00000082,PO-00000082,2025-04-25,2025,4,2,SUP-00000018,Mountain Components,France,Wholesaler,PRD-00000391,Drill Driver Cordless Plus,Tools,20,109.2,2184.0,2025-05-17,22.0,1.0,COMPLETED
5583,PO-00000083,PO-00000083,2024-07-20,2024,7,3,SUP-00000072,Advanced Logistics #72,Spain,Wholesaler,PRD-00000457,Binder Clips Assorted Plus,Office Supplies,20,2.35,47.0,2024-08-15,26.0,1.0,COMPLETED
5584,PO-00000084,PO-00000084,2024-01-14,2024,1,1,SUP-00000033,Central Supplies #33,Canada,Wholesaler,PRD-00000430,NVMe Cable Basic,Computer Hardware,20,6.64,132.79999999999998,2024-01-30,16.0,1.0,COMPLETED
5585,PO-00000085,PO-00000085,2025-03-20,2025,3,2,SUP-00000077,Atlantic Supply #77,Italy,Importer,PRD-00000389,Motherboard B550 Premium,Computer Hardware,100,92.47,9247.0,2025-04-18,29.0,0.0,COMPLETED
5586,PO-00000086,PO-00000086,2024-11-16,2024,11,4,SUP-00000035,National Distribution #35,South Korea,Manufacturer,PRD-00000120,Utility Knife Plus,Tools,100,4.49,449.0,2024-12-16,30.0,0.0,COMPLETED
5587,PO-00000087,PO-00000087,2024-04-10,2024,4,2,SUP-00000064,QualitySource Inc #64,Australia,Wholesaler,PRD-00000004,Bluetooth Keyboard,Electronics,150,23.94,3591.0,2024-05-05,25.0,1.0,COMPLETED
5588,PO-00000088,PO-00000088,2023-11-09,2023,11,4,SUP-00000022,Prime Industrial #22,Australia,Wholesaler,PRD-00000283,Wireless Mouse Pro,Electronics,25,13.29,332.25,2023-12-12,33.0,0.0,COMPLETED
5589,PO-00000089,PO-00000089,2024-04-06,2024,4,2,SUP-00000028,Alliance Trading #28,Australia,Importer,PRD-00000478,Hammer 16oz HD,Tools,50,13.95,697.5,2024-04-14,8.0,1.0,COMPLETED
5590,PO-00000090,PO-00000090,2024-09-10,2024,9,4,SUP-00000079,Valley Industrial #79,Italy,Wholesaler,PRD-00000497,Binder Clips Assorted Basic,Office Supplies,200,2.28,455.99999999999994,2024-10-03,23.0,1.0,COMPLETED
5591,PO-00000091,PO-00000091,2024-08-20,2024,8,3,SUP-00000012,Advanced Logistics,Canada,Distributor,PRD-00000438,Hammer 16oz XL,Tools,150,13.01,1951.5,2024-09-13,24.0,0.0,COMPLETED
5592,PO-00000092,PO-00000092,2024-02-15,2024,2,1,SUP-00000044,QualitySource Inc #44,United Kingdom,Distributor,PRD-00000254,File Folders 100-Pack Plus,Office Supplies,10,8.57,85.7,2024-03-02,16.0,0.0,COMPLETED
5593,PO-00000093,PO-00000093,2024-01-16,2024,1,1,SUP-00000076,Pacific Trading Co #76,Netherlands,Distributor,PRD-00000273,Measuring Tape 25ft HD,Tools,100,7.41,741.0,2024-01-28,12.0,1.0,COMPLETED
5594,PO-00000094,PO-00000094,2024-03-12,2024,3,2,SUP-00000054,United Parts #54,China,Manufacturer,PRD-00000378,Desk Organizer Premium,Office Supplies,150,13.57,2035.5,2024-03-29,17.0,0.0,COMPLETED
5595,PO-00000095,PO-00000095,2023-07-25,2023,7,3,SUP-00000095,National Distribution #95,Australia,Manufacturer,PRD-00000033,Measuring Tape 25ft,Tools,10,9.03,90.3,2023-08-24,30.0,0.0,COMPLETED
5596,PO-00000096,PO-00000096,2024-03-01,2024,3,2,SUP-00000049,Summit Distribution #49,France,Distributor,PRD-00000431,Drill Driver Cordless Premium,Tools,50,83.04,4152.0,2024-03-23,22.0,0.0,COMPLETED
5597,PO-00000097,PO-00000097,2025-03-26,2025,3,2,SUP-00000070,Peak Performance #70,United Kingdom,Importer,PRD-00000267,PC Case Mid Tower Premium,Computer Hardware,20,59.0,1180.0,2025-04-25,30.0,0.0,COMPLETED
5598,PO-00000098,PO-00000098,2023-08-04,2023,8,3,SUP-00000010,Peak Performance,Netherlands,Importer,PRD-00000297,Binder Clips Assorted Plus,Office Supplies,20,3.02,60.4,2023-08-20,16.0,1.0,COMPLETED
5599,PO-00000099,PO-00000099,2024-09-25,2024,9,4,SUP-00000022,Prime Industrial #22,Australia,Wholesaler,PRD-00000401,USB-C Cable HD,Electronics,10,8.93,89.3,2024-10-11,16.0,0.0,COMPLETED
5600,PO-00000100,PO-00000100,2024-04-27,2024,4,2,SUP-00000090,Peak Performance #90,China,Manufacturer,PRD-00000034,Level 24 inch,Tools,10,24.45,244.5,2024-05-24,27.0,0.0,COMPLETED
5601,PO-00000101,PO-00000101,2024-09-11,2024,9,4,SUP-00000082,Prime Industrial #82,France,Importer,PRD-00000120,Utility Knife Plus,Tools,200,5.1,1019.9999999999999,2024-10-12,31.0,0.0,COMPLETED
5602,PO-00000102,PO-00000102,2025-02-21,2025,2,1,SUP-00000004,QualitySource Inc,Canada,Distributor,PRD-00000334,File Folders 100-Pack Premium,Office Supplies,200,7.31,1462.0,2025-03-01,8.0,1.0,COMPLETED
5603,PO-00000103,PO-00000103,2023-11-07,2023,11,4,SUP-00000045,Reliable Components #45,Mexico,Importer,PRD-00000305,Graphics Card Entry Premium,Computer Hardware,50,144.64,7231.999999999999,2023-12-10,33.0,0.0,COMPLETED
5604,PO-00000104,PO-00000104,2023-11-18,2023,11,4,SUP-00000015,National Distribution,Canada,Manufacturer,PRD-00000216,Paper Clips Box Max,Office Supplies,200,1.56,312.0,2023-11-30,12.0,0.0,COMPLETED
5605,PO-00000105,PO-00000105,2025-01-05,2025,1,1,SUP-00000080,Coastal Distributors #80,India,Manufacturer,PRD-00000300,Dry Erase Markers Plus,Office Supplies,100,5.07,507.0,2025-01-20,15.0,0.0,COMPLETED
5606,PO-00000106,PO-00000106,2023-07-09,2023,7,3,SUP-00000054,United Parts #54,China,Manufacturer,PRD-00000309,Motherboard B550 Max,Computer Hardware,75,97.76,7332.0,2023-07-31,22.0,1.0,COMPLETED
5607,PO-00000107,PO-00000107,2024-01-17,2024,1,1,SUP-00000100,Coastal Distributors #100,Germany,Manufacturer,PRD-00000030,NVMe Cable,Computer Hardware,10,7.83,78.3,2024-01-31,14.0,0.0,COMPLETED
5608,PO-00000108,PO-00000108,2024-10-30,2024,10,4,SUP-00000012,Advanced Logistics,Canada,Distributor,PRD-00000403,Wireless Mouse Pro,Electronics,100,12.25,1225.0,2024-12-07,38.0,0.0,COMPLETED
5609,PO-00000109,PO-00000109,2024-09-01,2024,9,4,SUP-00000070,Peak Performance #70,United Kingdom,Importer,PRD-00000308,Power Supply 650W Premium,Computer Hardware,100,55.49,5549.0,2024-09-27,26.0,0.0,COMPLETED
5610,PO-00000110,PO-00000110,2023-07-04,2023,7,3,SUP-00000085,Reliable Components #85,Canada,Manufacturer,PRD-00000449,Surge Protector Plus,Electronics,200,17.58,3515.9999999999995,2023-08-02,29.0,0.0,COMPLETED
5611,PO-00000111,PO-00000111,2024-06-04,2024,6,3,SUP-00000099,Valley Industrial #99,Mexico,Wholesaler,PRD-00000239,Tape Measure Digital Premium,Tools,50,14.38,719.0,2024-07-11,37.0,0.0,COMPLETED
5612,PO-00000112,PO-00000112,2024-07-01,2024,7,3,SUP-00000042,Prime Industrial #42,France,Distributor,PRD-00000095,Stapler Heavy Duty HD,Office Supplies,100,13.35,1335.0,2024-07-07,6.0,1.0,COMPLETED
5613,PO-00000113,PO-00000113,2024-07-03,2024,7,3,SUP-00000066,Premier Materials #66,Spain,Wholesaler,PRD-00000149,Motherboard B550 HD,Computer Hardware,50,112.92,5646.0,,,,CANCELLED
5614,PO-00000114,PO-00000114,2024-03-25,2024,3,2,SUP-00000066,Premier Materials #66,Spain,Wholesaler,PRD-00000102,RAM 16GB DDR4 Pro,Computer Hardware,75,32.61,2445.75,2024-04-26,32.0,0.0,COMPLETED
5615,PO-00000115,PO-00000115,2024-03-25,2024,3,2,SUP-00000071,Elite Imports #71,Italy,Importer,PRD-00000092,Ballpoint Pens 12-Pack Premium,Office Supplies,10,3.63,36.3,2024-04-03,9.0,1.0,COMPLETED
5616,PO-00000116,PO-00000116,2024-05-08,2024,5,2,SUP-00000021,Global Tech Supply #21,South Korea,Manufacturer,PRD-00000195,Screwdriver Set 100pc Max,Tools,100,32.82,3282.0,2024-06-04,27.0,0.0,COMPLETED
5617,PO-00000117,PO-00000117,2023-09-05,2023,9,4,SUP-00000039,Valley Industrial #39,Canada,Distributor,PRD-00000339,Whiteboard 24x36 XL,Office Supplies,150,31.49,4723.5,2023-09-14,9.0,1.0,COMPLETED
